subject_id,data.no,data.yes
47967468,18.0,2.0
47967469,19.0,0.0
47967470,20.0,0.0
47967471,20.0,0.0
47967472,18.0,0.0
47967473,18.0,0.0
47967474,17.0,0.0
47967475,18.0,0.0
47967476,20.0,0.0
47967477,19.0,0.0
47967478,18.0,2.0
47967479,20.0,0.0
47967480,19.0,1.0
47967481,19.0,0.0
47967482,20.0,0.0
47967483,20.0,1.0
47967484,20.0,0.0
47967485,19.0,0.0
47967486,20.0,0.0
47967487,18.0,0.0
47967488,19.0,1.0
47967489,17.0,1.0
47967490,19.0,0.0
47967491,19.0,0.0
47967492,19.0,0.0
47967493,19.0,0.0
47967494,20.0,0.0
47967495,19.0,1.0
47967496,20.0,0.0
47967497,20.0,0.0
47967498,19.0,0.0
47967499,20.0,0.0
47967500,18.0,1.0
47967501,20.0,0.0
47967502,18.0,0.0
47967503,17.0,2.0
47967504,20.0,0.0
47967505,16.0,1.0
47967506,16.0,1.0
47967507,20.0,0.0
47967508,18.0,0.0
47967509,20.0,0.0
47967510,19.0,0.0
47967511,20.0,0.0
47967512,18.0,1.0
47967513,19.0,0.0
47967514,17.0,0.0
47967515,17.0,2.0
47967516,18.0,0.0
47967517,18.0,1.0
47967518,16.0,3.0
47967519,18.0,0.0
47967520,17.0,2.0
47967521,19.0,1.0
47967522,20.0,0.0
47967523,20.0,0.0
47967524,19.0,0.0
47967525,20.0,0.0
47967526,19.0,0.0
47967527,19.0,0.0
47967528,19.0,0.0
47967529,19.0,1.0
47967530,19.0,0.0
47967531,19.0,0.0
47967532,17.0,2.0
47967533,20.0,0.0
47967534,18.0,0.0
47967535,19.0,0.0
47967536,18.0,0.0
47967537,17.0,2.0
47967538,19.0,0.0
47967539,18.0,1.0
47967540,18.0,0.0
47967541,19.0,1.0
47967542,20.0,0.0
47967543,19.0,1.0
47967544,18.0,0.0
47967545,19.0,0.0
47967546,16.0,0.0
47967547,20.0,0.0
47967548,18.0,0.0
47967549,18.0,0.0
47967550,16.0,0.0
47967551,18.0,2.0
47967552,20.0,0.0
47967553,18.0,2.0
47967554,18.0,0.0
47967555,18.0,0.0
47967556,18.0,1.0
47967557,20.0,0.0
47967558,20.0,0.0
47967559,19.0,1.0
47967560,20.0,0.0
47967561,18.0,0.0
47967562,20.0,0.0
47967563,18.0,1.0
47967564,19.0,1.0
47967565,20.0,0.0
47967566,17.0,0.0
47967567,18.0,0.0
47967568,19.0,0.0
47967569,19.0,0.0
47967570,20.0,0.0
47967571,19.0,0.0
47967572,19.0,1.0
47967573,15.0,1.0
47967574,19.0,0.0
47967575,19.0,0.0
47967576,20.0,0.0
47967577,15.0,1.0
47967578,18.0,2.0
47967579,19.0,0.0
47967580,21.0,0.0
47967581,16.0,2.0
47967582,17.0,0.0
47967583,19.0,0.0
47967584,15.0,0.0
47967585,4.0,16.0
47967586,18.0,2.0
47967587,16.0,1.0
47967588,19.0,0.0
47967589,19.0,0.0
47967590,18.0,0.0
47967591,19.0,0.0
47967592,17.0,0.0
47967593,17.0,2.0
47967594,18.0,0.0
47967595,18.0,0.0
47967596,17.0,1.0
47967597,17.0,0.0
47967598,19.0,0.0
47967599,17.0,0.0
47967600,12.0,5.0
47967601,19.0,0.0
47967602,18.0,1.0
47967603,19.0,1.0
47967604,19.0,0.0
47967605,19.0,0.0
47967606,19.0,0.0
47967607,20.0,0.0
47967608,17.0,1.0
47967609,20.0,0.0
47967610,17.0,2.0
47967611,18.0,0.0
47967612,17.0,2.0
47967613,17.0,1.0
47967614,20.0,0.0
47967615,19.0,0.0
47967616,17.0,0.0
47967617,20.0,0.0
47967618,19.0,0.0
47967619,17.0,1.0
47967620,19.0,0.0
47967621,20.0,0.0
47967622,20.0,0.0
47967623,20.0,1.0
47967624,17.0,0.0
47967625,18.0,0.0
47967626,19.0,1.0
47967627,20.0,0.0
47967628,18.0,1.0
47967629,20.0,0.0
47967630,14.0,3.0
47967631,18.0,2.0
47967632,15.0,3.0
47967633,20.0,0.0
47967634,17.0,2.0
47967635,18.0,1.0
47967636,19.0,1.0
47967637,19.0,0.0
47967638,17.0,2.0
47967639,19.0,1.0
47967640,19.0,1.0
47967641,17.0,1.0
47967642,19.0,0.0
47967643,16.0,0.0
47967644,13.0,6.0
47967645,17.0,1.0
47967646,19.0,1.0
47967647,18.0,0.0
47967648,16.0,0.0
47967649,18.0,0.0
47967650,20.0,0.0
47967651,17.0,2.0
47967652,19.0,0.0
47967653,17.0,1.0
47967654,17.0,1.0
47967655,19.0,1.0
47967656,17.0,2.0
47967657,21.0,0.0
47967658,17.0,1.0
47967659,19.0,0.0
47967660,17.0,0.0
47967661,15.0,1.0
47967662,18.0,0.0
47967663,19.0,0.0
47967664,12.0,3.0
47967665,14.0,0.0
47967666,20.0,0.0
47967667,17.0,0.0
47967668,17.0,1.0
47967669,19.0,0.0
47967670,18.0,0.0
47967671,17.0,0.0
47967672,18.0,1.0
47967673,19.0,0.0
47967674,18.0,0.0
47967675,15.0,0.0
47967676,18.0,0.0
47967677,20.0,0.0
47967678,19.0,0.0
47967679,17.0,2.0
47967680,18.0,1.0
47967681,16.0,1.0
47967682,19.0,1.0
47967683,14.0,4.0
47967684,16.0,1.0
47967685,18.0,1.0
47967686,20.0,0.0
47967687,17.0,1.0
47967688,18.0,1.0
47967689,15.0,2.0
47967690,19.0,0.0
47967691,17.0,1.0
47967692,18.0,1.0
47967693,17.0,1.0
47967694,19.0,1.0
47967695,12.0,3.0
47967696,19.0,0.0
47967697,18.0,2.0
47967698,18.0,1.0
47967699,16.0,0.0
47967700,19.0,0.0
47967701,14.0,0.0
47967702,18.0,1.0
47967703,18.0,0.0
47967704,18.0,0.0
47967705,16.0,1.0
47967706,19.0,0.0
47967707,18.0,0.0
47967708,19.0,0.0
47967709,16.0,1.0
47967710,17.0,2.0
47967711,15.0,2.0
47967712,19.0,0.0
47967713,15.0,1.0
47967714,18.0,1.0
47967715,18.0,1.0
47967716,18.0,0.0
47967717,19.0,0.0
47967718,20.0,0.0
47967719,18.0,1.0
47967720,19.0,1.0
47967721,18.0,1.0
47967722,17.0,2.0
47967723,22.0,0.0
47967724,17.0,0.0
47967725,21.0,0.0
47967726,19.0,0.0
47967727,19.0,0.0
47967728,16.0,1.0
47967729,17.0,0.0
47967730,16.0,0.0
47967731,19.0,0.0
47967732,18.0,1.0
47967733,19.0,0.0
47967734,18.0,1.0
47967735,17.0,1.0
47967736,18.0,1.0
47967737,21.0,0.0
47967738,18.0,0.0
47967739,20.0,0.0
47967740,20.0,0.0
47967741,19.0,1.0
47967742,19.0,1.0
47967743,19.0,0.0
47967744,18.0,0.0
47967745,15.0,3.0
47967746,18.0,1.0
47967747,19.0,1.0
47967748,19.0,1.0
47967749,18.0,0.0
47967750,20.0,0.0
47967751,19.0,0.0
47967752,19.0,1.0
47967753,19.0,0.0
47967754,16.0,3.0
47967755,19.0,1.0
47967756,19.0,0.0
47967757,20.0,0.0
47967758,18.0,1.0
47967759,18.0,0.0
47967760,18.0,0.0
47967761,19.0,0.0
47967762,19.0,0.0
47967763,19.0,0.0
47967764,17.0,0.0
47967765,18.0,0.0
47967766,19.0,1.0
47967767,20.0,0.0
47967768,19.0,0.0
47967769,18.0,1.0
47967770,21.0,0.0
47967771,18.0,0.0
47967772,13.0,1.0
47967773,18.0,1.0
47967774,16.0,1.0
47967775,19.0,0.0
47967776,16.0,1.0
47967777,20.0,0.0
47967778,20.0,0.0
47967779,19.0,0.0
47967780,19.0,1.0
47967781,18.0,0.0
47967782,18.0,0.0
47967783,18.0,0.0
47967784,17.0,2.0
47967785,21.0,1.0
47967786,17.0,1.0
47967787,20.0,0.0
47967788,19.0,0.0
47967789,19.0,0.0
47967790,17.0,1.0
47967791,20.0,0.0
47967792,17.0,2.0
47967793,18.0,2.0
47967794,17.0,1.0
47967795,18.0,0.0
47967796,19.0,0.0
47967797,19.0,0.0
47967798,16.0,2.0
47967799,19.0,1.0
47967800,19.0,0.0
47967801,19.0,0.0
47967802,13.0,7.0
47967803,18.0,0.0
47967804,18.0,1.0
47967805,20.0,0.0
47967806,20.0,0.0
47967807,17.0,0.0
47967808,15.0,4.0
47967809,20.0,0.0
47967810,17.0,0.0
47967811,18.0,0.0
47967812,18.0,1.0
47967813,19.0,1.0
47967814,17.0,0.0
47967815,19.0,0.0
47967816,19.0,0.0
47967817,19.0,1.0
47967818,17.0,2.0
47967819,20.0,0.0
47967820,18.0,2.0
47967821,20.0,0.0
47967822,19.0,0.0
47967823,20.0,0.0
47967824,19.0,0.0
47967825,17.0,1.0
47967826,15.0,2.0
47967827,18.0,1.0
47967828,18.0,1.0
47967829,18.0,1.0
47967830,18.0,1.0
47967831,18.0,0.0
47967832,19.0,1.0
47967833,17.0,2.0
47967834,17.0,0.0
47967835,17.0,2.0
47967836,16.0,1.0
47967837,18.0,0.0
47967838,16.0,1.0
47967839,15.0,4.0
47967840,19.0,0.0
47967841,18.0,1.0
47967842,20.0,0.0
47967843,19.0,1.0
47967844,19.0,1.0
47967845,19.0,1.0
47967846,18.0,0.0
47967847,19.0,0.0
47967848,20.0,0.0
47967849,18.0,0.0
47967850,19.0,0.0
47967851,19.0,0.0
47967852,16.0,1.0
47967853,19.0,0.0
47967854,16.0,0.0
47967855,16.0,0.0
47967856,17.0,3.0
47967857,17.0,0.0
47967858,17.0,3.0
47967859,19.0,0.0
47967860,17.0,0.0
47967861,14.0,3.0
47967862,19.0,1.0
47967863,18.0,0.0
47967864,17.0,0.0
47967865,18.0,1.0
47967866,19.0,0.0
47967867,18.0,0.0
47967868,19.0,1.0
47967869,18.0,0.0
47967870,15.0,0.0
47967871,19.0,0.0
47967872,16.0,1.0
47967873,16.0,1.0
47967874,19.0,1.0
47967875,18.0,0.0
47967876,8.0,11.0
47967877,20.0,1.0
47967878,18.0,1.0
47967879,16.0,0.0
47967880,20.0,0.0
47967881,15.0,1.0
47967882,20.0,0.0
47967883,14.0,1.0
47967884,19.0,0.0
47967885,20.0,0.0
47967886,19.0,1.0
47967887,19.0,0.0
47967888,20.0,1.0
47967889,19.0,0.0
47967890,18.0,0.0
47967891,16.0,0.0
47967892,18.0,0.0
47967893,19.0,1.0
47967894,16.0,1.0
47967895,19.0,0.0
47967896,17.0,2.0
47967897,15.0,2.0
47967898,18.0,0.0
47967899,17.0,1.0
47967900,16.0,0.0
47967901,14.0,1.0
47967902,14.0,2.0
47967903,19.0,0.0
47967904,19.0,1.0
47967905,18.0,1.0
47967906,17.0,0.0
47967907,18.0,1.0
47967908,17.0,0.0
47967909,18.0,0.0
47967910,18.0,1.0
47967911,18.0,0.0
47967912,15.0,0.0
47967913,15.0,0.0
47967914,19.0,0.0
47967915,19.0,1.0
47967916,17.0,1.0
47967917,20.0,0.0
47967918,15.0,0.0
47967919,20.0,0.0
47967920,20.0,0.0
47967921,17.0,0.0
47967922,16.0,0.0
47967923,18.0,0.0
47967924,18.0,0.0
47967925,18.0,0.0
47967926,16.0,2.0
47967927,18.0,0.0
47967928,15.0,1.0
47967929,19.0,0.0
47967930,14.0,1.0
47967931,18.0,0.0
47967932,20.0,0.0
47967933,20.0,0.0
47967934,18.0,1.0
47967935,20.0,0.0
47967936,17.0,0.0
47967937,20.0,0.0
47967938,17.0,0.0
47967939,16.0,0.0
47967940,15.0,0.0
47967941,13.0,2.0
47967942,17.0,0.0
47967943,18.0,0.0
47967944,19.0,0.0
47967945,13.0,0.0
47967946,19.0,0.0
47967947,15.0,0.0
47967948,19.0,0.0
47967949,14.0,2.0
47967950,18.0,1.0
47967951,18.0,0.0
47967952,18.0,0.0
47967953,16.0,3.0
47967954,17.0,0.0
47967955,18.0,1.0
47967956,19.0,1.0
47967957,19.0,0.0
47967958,18.0,1.0
47967959,6.0,12.0
47967960,20.0,0.0
47967961,12.0,5.0
47967962,18.0,0.0
47967963,17.0,0.0
47967964,17.0,1.0
47967965,15.0,1.0
47967966,19.0,0.0
47967967,19.0,1.0
47967968,15.0,0.0
47967969,17.0,1.0
47967970,17.0,0.0
47967971,20.0,0.0
47967972,20.0,0.0
47967973,17.0,1.0
47967974,19.0,1.0
47967975,14.0,6.0
47967976,17.0,3.0
47967977,19.0,0.0
47967978,18.0,1.0
47967979,13.0,0.0
47967980,19.0,1.0
47967981,13.0,1.0
47967982,20.0,0.0
47967983,18.0,0.0
47967984,19.0,1.0
47967985,14.0,1.0
47967986,20.0,0.0
47967987,19.0,0.0
47967988,18.0,1.0
47967989,13.0,1.0
47967990,19.0,0.0
47967991,17.0,1.0
47967992,16.0,1.0
47967993,16.0,0.0
47967994,12.0,4.0
47967995,19.0,0.0
47967996,17.0,1.0
47967997,15.0,0.0
47967998,20.0,0.0
47967999,14.0,1.0
47968000,18.0,0.0
47968001,19.0,0.0
47968002,16.0,2.0
47968003,19.0,1.0
47968004,19.0,1.0
47968005,18.0,0.0
47968006,19.0,0.0
47968007,18.0,1.0
47968008,18.0,0.0
47968009,18.0,0.0
47968010,18.0,0.0
47968011,15.0,1.0
47968012,16.0,0.0
47968013,10.0,6.0
47968014,17.0,0.0
47968015,14.0,0.0
47968016,19.0,0.0
47968017,18.0,0.0
47968018,19.0,0.0
47968019,16.0,3.0
47968020,16.0,1.0
47968021,17.0,1.0
47968022,18.0,0.0
47968023,9.0,0.0
47968024,19.0,1.0
47968025,16.0,4.0
47968026,19.0,1.0
47968027,17.0,0.0
47968028,18.0,0.0
47968029,17.0,0.0
47968030,19.0,1.0
47968031,19.0,0.0
47968032,12.0,1.0
47968033,19.0,0.0
47968034,19.0,0.0
47968035,16.0,3.0
47968036,18.0,1.0
47968037,19.0,0.0
47968038,14.0,1.0
47968039,19.0,0.0
47968040,20.0,0.0
47968041,17.0,0.0
47968042,15.0,0.0
47968043,17.0,2.0
47968044,18.0,0.0
47968045,13.0,0.0
47968046,17.0,2.0
47968047,16.0,0.0
47968048,18.0,2.0
47968049,17.0,0.0
47968050,15.0,0.0
47968051,14.0,0.0
47968052,19.0,1.0
47968053,18.0,0.0
47968054,19.0,0.0
47968055,18.0,1.0
47968056,18.0,1.0
47968057,17.0,0.0
47968058,0.0,19.0
47968059,16.0,1.0
47968060,19.0,0.0
47968061,18.0,1.0
47968062,21.0,0.0
47968063,18.0,0.0
47968064,16.0,2.0
47968065,19.0,0.0
47968066,19.0,0.0
47968067,17.0,2.0
47968068,18.0,0.0
47968069,17.0,2.0
47968070,17.0,0.0
47968071,18.0,0.0
47968072,18.0,0.0
47968073,14.0,0.0
47968074,17.0,1.0
47968075,18.0,0.0
47968076,14.0,1.0
47968077,19.0,0.0
47968078,17.0,0.0
47968079,18.0,1.0
47968080,17.0,1.0
47968081,16.0,1.0
47968082,20.0,0.0
47968083,20.0,0.0
47968084,17.0,0.0
47968085,20.0,0.0
47968086,17.0,0.0
47968087,19.0,0.0
47968088,18.0,0.0
47968089,15.0,1.0
47968090,18.0,1.0
47968091,18.0,1.0
47968092,20.0,0.0
47968093,17.0,3.0
47968094,17.0,2.0
47968095,15.0,1.0
47968096,18.0,2.0
47968097,19.0,0.0
47968098,18.0,0.0
47968099,19.0,0.0
47968100,20.0,0.0
47968101,13.0,0.0
47968102,17.0,2.0
47968103,18.0,1.0
47968104,19.0,0.0
47968105,18.0,0.0
47968106,16.0,2.0
47968107,17.0,1.0
47968108,19.0,0.0
47968109,7.0,10.0
47968110,20.0,0.0
47968111,18.0,1.0
47968112,17.0,2.0
47968113,18.0,0.0
47968114,18.0,1.0
47968115,20.0,0.0
47968116,9.0,0.0
47968117,17.0,0.0
47968118,15.0,0.0
47968119,19.0,0.0
47968120,17.0,1.0
47968121,19.0,0.0
47968122,1.0,19.0
47968123,18.0,0.0
47968124,17.0,1.0
47968125,16.0,1.0
47968126,16.0,2.0
47968127,17.0,0.0
47968128,19.0,0.0
47968129,13.0,1.0
47968130,15.0,0.0
47968131,15.0,2.0
47968132,20.0,0.0
47968133,18.0,1.0
47968134,20.0,0.0
47968135,19.0,1.0
47968136,19.0,1.0
47968137,18.0,1.0
47968138,19.0,1.0
47968139,18.0,1.0
47968140,20.0,0.0
47968141,19.0,0.0
47968142,18.0,0.0
47968143,19.0,0.0
47968144,20.0,0.0
47968145,19.0,0.0
47968146,17.0,0.0
47968147,16.0,1.0
47968148,19.0,0.0
47968149,15.0,1.0
47968150,18.0,0.0
47968151,18.0,0.0
47968152,15.0,1.0
47968153,17.0,1.0
47968154,17.0,1.0
47968155,15.0,3.0
47968156,20.0,0.0
47968157,14.0,0.0
47968158,18.0,0.0
47968159,18.0,0.0
47968160,19.0,0.0
47968161,19.0,0.0
47968162,17.0,1.0
47968163,18.0,0.0
47968164,0.0,16.0
47968165,17.0,0.0
47968166,17.0,0.0
47968167,14.0,1.0
47968168,19.0,0.0
47968169,20.0,0.0
47968170,19.0,0.0
47968171,17.0,0.0
47968172,16.0,2.0
47968173,15.0,1.0
47968174,18.0,0.0
47968175,17.0,1.0
47968176,19.0,0.0
47968177,15.0,1.0
47968178,17.0,0.0
47968179,18.0,0.0
47968180,18.0,1.0
47968181,13.0,7.0
47968182,15.0,1.0
47968183,17.0,0.0
47968184,17.0,0.0
47968185,18.0,0.0
47968186,18.0,0.0
47968187,18.0,0.0
47968188,17.0,1.0
47968189,18.0,0.0
47968190,19.0,0.0
47968191,18.0,0.0
47968192,14.0,3.0
47968193,19.0,0.0
47968194,17.0,0.0
47968195,18.0,0.0
47968196,18.0,0.0
47968197,20.0,0.0
47968198,16.0,1.0
47968199,18.0,1.0
47968200,17.0,0.0
47968201,19.0,0.0
47968202,18.0,0.0
47968203,19.0,0.0
47968204,17.0,1.0
47968205,17.0,0.0
47968206,18.0,0.0
47968207,17.0,0.0
47968208,17.0,0.0
47968209,18.0,0.0
47968210,18.0,0.0
47968211,18.0,0.0
47968212,16.0,0.0
47968213,18.0,0.0
47968214,18.0,0.0
47968215,18.0,0.0
47968216,17.0,2.0
47968217,16.0,0.0
47968218,3.0,17.0
47968219,17.0,0.0
47968220,17.0,0.0
47968221,18.0,1.0
47968222,20.0,0.0
47968223,16.0,1.0
47968224,17.0,1.0
47968225,20.0,0.0
47968226,19.0,0.0
47968227,17.0,1.0
47968228,18.0,0.0
47968229,16.0,0.0
47968230,18.0,1.0
47968231,19.0,0.0
47968232,19.0,0.0
47968233,18.0,1.0
47968234,18.0,0.0
47968235,18.0,1.0
47968236,19.0,0.0
47968237,17.0,0.0
47968238,18.0,0.0
47968239,19.0,0.0
47968240,17.0,0.0
47968241,16.0,0.0
47968242,19.0,1.0
47968243,20.0,0.0
47968244,17.0,0.0
47968245,17.0,1.0
47968246,15.0,1.0
47968247,17.0,2.0
47968248,15.0,1.0
47968249,16.0,0.0
47968250,17.0,2.0
47968251,16.0,0.0
47968252,19.0,0.0
47968253,19.0,1.0
47968254,10.0,0.0
47968255,16.0,0.0
47968256,18.0,0.0
47968257,10.0,0.0
47968258,15.0,1.0
47968259,12.0,0.0
47968260,19.0,0.0
47968261,16.0,0.0
47968262,20.0,0.0
47968263,18.0,0.0
47968264,13.0,0.0
47968265,18.0,0.0
47968266,4.0,0.0
47968267,19.0,0.0
47968268,19.0,1.0
47968269,17.0,1.0
47968270,17.0,2.0
47968271,10.0,1.0
47968272,19.0,0.0
47968273,17.0,2.0
47968274,7.0,2.0
47968275,11.0,0.0
47968276,19.0,0.0
47968277,17.0,0.0
47968278,12.0,0.0
47968279,10.0,0.0
47968280,9.0,2.0
47968281,19.0,0.0
47968282,9.0,0.0
47968283,17.0,1.0
47968284,12.0,1.0
47968285,17.0,2.0
47968286,18.0,0.0
47968287,7.0,1.0
47968288,17.0,0.0
47968289,19.0,0.0
47968290,12.0,2.0
47968291,17.0,0.0
47968292,15.0,0.0
47968293,18.0,0.0
47968294,16.0,0.0
47968295,18.0,0.0
47968296,19.0,0.0
47968297,18.0,2.0
47968298,14.0,1.0
47968299,16.0,0.0
47968300,14.0,0.0
47968301,18.0,1.0
47968302,20.0,0.0
47968303,17.0,0.0
47968304,20.0,0.0
47968305,12.0,1.0
47968306,17.0,0.0
47968307,16.0,1.0
47968308,18.0,0.0
47968309,17.0,0.0
47968310,16.0,0.0
47968311,17.0,2.0
47968312,18.0,2.0
47968313,14.0,0.0
47968314,19.0,0.0
47968315,16.0,0.0
47968316,19.0,1.0
47968317,20.0,0.0
47968318,15.0,2.0
47968319,15.0,0.0
47968320,16.0,0.0
47968321,19.0,0.0
47968322,11.0,0.0
47968323,16.0,2.0
47968324,13.0,3.0
47968325,13.0,0.0
47968326,17.0,0.0
47968327,18.0,0.0
47968328,15.0,0.0
47968329,17.0,0.0
47968330,16.0,0.0
47968331,13.0,0.0
47968332,18.0,1.0
47968333,14.0,0.0
47968334,18.0,0.0
47968335,10.0,0.0
47968336,18.0,1.0
47968337,18.0,0.0
47968338,17.0,0.0
47968339,15.0,0.0
47968340,17.0,1.0
47968341,14.0,1.0
47968342,20.0,0.0
47968343,17.0,1.0
47968344,14.0,1.0
47968345,19.0,0.0
47968346,18.0,1.0
47968347,15.0,1.0
47968348,17.0,0.0
47968349,16.0,0.0
47968350,15.0,1.0
47968351,17.0,1.0
47968352,17.0,1.0
47968353,14.0,0.0
47968354,17.0,2.0
47968355,13.0,0.0
47968356,1.0,18.0
47968357,16.0,4.0
47968358,11.0,2.0
47968359,13.0,6.0
47968360,4.0,0.0
47968361,17.0,1.0
47968362,18.0,0.0
47968363,10.0,0.0
47968364,17.0,0.0
47968365,3.0,0.0
47968366,16.0,0.0
47968367,20.0,0.0
47968368,7.0,0.0
47968369,18.0,0.0
47968370,18.0,1.0
47968371,9.0,3.0
47968372,18.0,1.0
47968373,17.0,0.0
47968374,12.0,2.0
47968375,15.0,1.0
47968376,19.0,0.0
47968377,11.0,1.0
47968378,17.0,0.0
47968379,9.0,0.0
47968380,18.0,1.0
47968381,19.0,1.0
47968382,12.0,1.0
47968383,20.0,0.0
47968384,16.0,0.0
47968385,18.0,0.0
47968386,15.0,0.0
47968387,19.0,0.0
47968388,19.0,0.0
47968389,13.0,0.0
47968390,17.0,1.0
47968391,15.0,2.0
47968392,17.0,0.0
47968393,8.0,11.0
47968394,13.0,0.0
47968395,17.0,0.0
47968396,18.0,0.0
47968397,17.0,2.0
47968398,19.0,0.0
47968399,11.0,0.0
47968400,20.0,0.0
47968401,19.0,0.0
47968402,14.0,0.0
47968403,20.0,0.0
47968404,20.0,0.0
47968405,12.0,0.0
47968406,4.0,15.0
47968407,15.0,0.0
47968408,18.0,2.0
47968409,11.0,1.0
47968410,1.0,19.0
47968411,19.0,0.0
47968412,12.0,0.0
47968413,18.0,0.0
47968414,19.0,0.0
47968415,14.0,0.0
47968416,19.0,0.0
47968417,14.0,1.0
47968418,14.0,2.0
47968419,13.0,0.0
47968420,19.0,1.0
47968421,18.0,1.0
47968422,16.0,0.0
47968423,1.0,19.0
47968424,13.0,1.0
47968425,18.0,0.0
47968426,18.0,1.0
47968427,16.0,0.0
47968428,11.0,0.0
47968429,17.0,0.0
47968430,19.0,1.0
47968431,14.0,0.0
47968432,18.0,1.0
47968433,19.0,0.0
47968434,17.0,0.0
47968435,16.0,0.0
47968436,13.0,0.0
47968437,19.0,1.0
47968438,13.0,1.0
47968439,17.0,0.0
47968440,14.0,1.0
47968441,19.0,0.0
47968442,12.0,1.0
47968443,19.0,1.0
47968444,17.0,0.0
47968445,14.0,0.0
47968446,19.0,0.0
