subject_id,data.no,data.yes
72332768,22.0,0.0
72332769,21.0,0.0
72332770,21.0,0.0
72332771,20.0,1.0
72332772,21.0,2.0
72332773,21.0,0.0
72332774,22.0,0.0
72332775,21.0,1.0
72332776,21.0,0.0
72332777,21.0,0.0
72332778,21.0,0.0
72332779,22.0,0.0
72332780,23.0,0.0
72332781,20.0,0.0
72332782,20.0,1.0
72332783,21.0,0.0
72332784,21.0,0.0
72332785,21.0,0.0
72332786,22.0,0.0
72332787,21.0,0.0
72332788,20.0,2.0
72332789,22.0,0.0
72332790,21.0,0.0
72332791,21.0,0.0
72332792,22.0,0.0
72332793,22.0,0.0
72332794,20.0,1.0
72332795,21.0,1.0
72332796,22.0,0.0
72332797,21.0,0.0
72332798,22.0,0.0
72332799,20.0,1.0
72332800,20.0,2.0
72332801,23.0,0.0
72332802,19.0,1.0
72332803,12.0,11.0
72332804,8.0,14.0
72332805,22.0,0.0
72332806,21.0,0.0
72332807,21.0,0.0
72332808,21.0,1.0
72332809,21.0,0.0
72332810,21.0,0.0
72332811,21.0,0.0
72332812,20.0,1.0
72332813,20.0,1.0
72332814,5.0,16.0
72332815,21.0,0.0
72332816,20.0,0.0
72332817,20.0,1.0
72332818,16.0,5.0
72332819,22.0,0.0
72332820,21.0,0.0
72332821,11.0,10.0
72332822,22.0,0.0
72332823,20.0,0.0
72332824,22.0,1.0
72332825,22.0,0.0
72332826,5.0,16.0
72332827,22.0,0.0
72332828,20.0,1.0
72332829,22.0,0.0
72332830,21.0,0.0
72332831,21.0,0.0
72332832,21.0,0.0
72332833,19.0,2.0
72332834,21.0,0.0
72332835,20.0,1.0
72332836,21.0,1.0
72332837,22.0,0.0
72332838,20.0,1.0
72332839,23.0,1.0
72332840,22.0,0.0
72332841,21.0,0.0
72332842,19.0,1.0
72332843,20.0,1.0
72332844,14.0,7.0
72332845,21.0,1.0
72332846,20.0,1.0
72332847,21.0,0.0
72332848,22.0,0.0
72332849,23.0,0.0
72332850,22.0,0.0
72332851,20.0,1.0
72332852,20.0,1.0
72332853,17.0,4.0
72332854,21.0,0.0
72332855,22.0,0.0
72332856,21.0,0.0
72332857,22.0,0.0
72332858,22.0,0.0
72332859,20.0,1.0
72332860,21.0,1.0
72332861,21.0,1.0
72332862,21.0,1.0
72332863,21.0,1.0
72332864,20.0,1.0
72332865,23.0,0.0
72332866,21.0,1.0
72332867,21.0,0.0
72332868,7.0,14.0
72332869,21.0,1.0
72332870,22.0,0.0
72332871,21.0,1.0
72332872,21.0,0.0
72332873,20.0,1.0
72332874,7.0,15.0
72332875,19.0,2.0
72332876,21.0,0.0
72332877,21.0,0.0
72332878,22.0,0.0
72332879,20.0,1.0
72332880,21.0,0.0
72332881,23.0,0.0
72332882,21.0,1.0
72332883,21.0,0.0
72332884,21.0,0.0
72332885,20.0,1.0
72332886,22.0,0.0
72332887,21.0,0.0
72332888,21.0,0.0
72332889,21.0,0.0
72332890,22.0,0.0
72332891,20.0,2.0
72332892,21.0,0.0
72332893,22.0,0.0
72332894,21.0,0.0
72332895,21.0,0.0
72332896,20.0,1.0
72332897,22.0,1.0
72332898,21.0,1.0
72332899,19.0,2.0
72332900,19.0,2.0
72332901,22.0,0.0
72332902,21.0,0.0
72332903,21.0,1.0
72332904,22.0,1.0
72332905,21.0,0.0
72332906,20.0,1.0
72332907,21.0,0.0
72332908,18.0,3.0
72332909,22.0,0.0
72332910,20.0,2.0
72332911,21.0,0.0
72332912,21.0,0.0
72332913,21.0,1.0
72332914,21.0,0.0
72332915,18.0,4.0
72332916,21.0,1.0
72332917,23.0,0.0
72332918,22.0,0.0
72332919,22.0,0.0
72332920,21.0,0.0
72332921,19.0,2.0
72332922,21.0,0.0
72332923,21.0,1.0
72332924,21.0,0.0
72332925,21.0,1.0
72332926,22.0,0.0
72332927,20.0,1.0
72332928,20.0,1.0
72332929,20.0,2.0
72332930,21.0,0.0
72332931,21.0,0.0
72332932,22.0,0.0
72332933,20.0,1.0
72332934,20.0,1.0
72332935,21.0,0.0
72332936,22.0,0.0
72332937,18.0,3.0
72332938,20.0,1.0
72332939,20.0,1.0
72332940,22.0,0.0
72332941,20.0,1.0
72332942,22.0,0.0
72332943,22.0,0.0
72332944,22.0,0.0
72332945,2.0,18.0
72332946,21.0,0.0
72332947,20.0,0.0
72332948,20.0,1.0
72332949,21.0,0.0
72332950,22.0,0.0
72332951,21.0,0.0
72332952,18.0,3.0
72332953,21.0,1.0
72332954,20.0,2.0
72332955,21.0,1.0
72332956,23.0,0.0
72332957,22.0,0.0
72332958,21.0,0.0
72332959,21.0,0.0
72332960,22.0,0.0
72332961,20.0,1.0
72332962,21.0,1.0
72332963,7.0,15.0
72332964,21.0,0.0
72332965,20.0,1.0
72332966,20.0,1.0
72332967,19.0,2.0
72332968,20.0,1.0
72332969,23.0,0.0
72332970,21.0,0.0
72332971,21.0,0.0
72332972,21.0,0.0
72332973,20.0,1.0
72332974,21.0,0.0
72332975,7.0,15.0
72332976,19.0,2.0
72332977,20.0,0.0
72332978,21.0,0.0
72332979,21.0,0.0
72332980,18.0,3.0
72332981,20.0,1.0
72332982,22.0,0.0
72332983,21.0,0.0
72332984,23.0,0.0
72332985,20.0,2.0
72332986,22.0,0.0
72332987,20.0,1.0
72332988,22.0,1.0
72332989,20.0,0.0
72332990,20.0,2.0
72332991,22.0,0.0
72332992,22.0,0.0
72332993,17.0,4.0
72332994,21.0,1.0
72332995,11.0,10.0
72332996,20.0,1.0
72332997,21.0,1.0
72332998,23.0,0.0
72332999,20.0,1.0
72333000,21.0,1.0
72333001,20.0,1.0
72333002,20.0,0.0
72333003,22.0,0.0
72333004,23.0,0.0
72333005,22.0,0.0
72333006,23.0,0.0
72333007,21.0,0.0
72333008,21.0,0.0
72333009,20.0,0.0
72333010,23.0,0.0
72333011,21.0,0.0
72333012,21.0,0.0
72333013,20.0,0.0
72333014,20.0,0.0
72333015,20.0,1.0
72333016,21.0,1.0
72333017,20.0,1.0
72333018,21.0,0.0
72333019,21.0,0.0
72333020,21.0,0.0
72333021,21.0,0.0
72333022,21.0,0.0
72333023,22.0,0.0
72333024,22.0,0.0
72333025,20.0,0.0
72333026,21.0,0.0
72333027,21.0,2.0
72333028,20.0,1.0
72333029,21.0,0.0
72333030,21.0,0.0
72333031,21.0,0.0
72333032,17.0,4.0
72333033,22.0,0.0
72333034,22.0,0.0
72333035,22.0,0.0
72333036,22.0,0.0
72333037,21.0,0.0
72333038,22.0,1.0
72333039,21.0,1.0
72333040,21.0,0.0
72333041,21.0,1.0
72333042,20.0,2.0
72333043,22.0,0.0
72333044,21.0,0.0
72333045,21.0,1.0
72333046,21.0,1.0
72333047,19.0,2.0
