,site_name,subject_group,image_name,subject_id,count_total,median_count,mean_count,mode_min_count,mode_max_count,mode_count,mode_count_avg,users,sum_annotations_count,annotations_count,dbscan_count_sil,HDBSCAN_count,eps,min_cluster_size,max_cluster_size,noise_points,data.no,data.yes
0,BahiaNegra,MBN1,MBN02_72.jpg,78925728,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
1,BahiaNegra,MBN1,MBN02_74.jpg,78925730,0,4.0,4.0,4.0,4.0,[4],4.0,2.0,8.0,"[4, 4]",0.0,1.0,0.0,5.0,0.0,3.0,27.0,4.0
2,BahiaNegra,MBN1,MBN02_95.jpg,78925747,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
3,BahiaNegra,MBN1,MBN03-2_06.jpg,78925781,0,4.0,4.0,4.0,4.0,[4],4.0,1.0,4.0,[4],0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0
4,BahiaNegra,MBN1,MBN03-2_38.jpg,78925808,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,30.0,1.0
5,BahiaNegra,MBN1,MBN03-2_48.jpg,78925818,0,1.0,1.0,1.0,1.0,[1],1.0,1.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0
6,BahiaNegra,MBN1,MBN03-3_22.jpg,78925861,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,29.0,2.0
7,BahiaNegra,MBN1,MBN03-3_33.jpg,78925864,0,3.0,3.0,3.0,3.0,[3],3.0,1.0,3.0,[3],0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0
8,BahiaNegra,MBN1,MBN03-3_57.jpg,78925884,0,2.0,2.0,2.0,2.0,[2],2.0,1.0,2.0,[2],0.0,0.0,0.0,0.0,0.0,0.0,29.0,2.0
9,BahiaNegra,MBN1,MBN03-4_59.jpg,78925956,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
10,BahiaNegra,MBN1,MBN03-4_63.jpg,78925960,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,31.0,0.0
