subject_id,data.no,data.yes
78921848,24.0,0.0
78921849,31.0,0.0
78921850,29.0,2.0
78921851,30.0,1.0
78921852,31.0,0.0
78921853,31.0,0.0
78921854,31.0,0.0
78921855,22.0,0.0
78921856,27.0,4.0
78921857,31.0,0.0
78921858,25.0,0.0
78921859,21.0,0.0
78921860,30.0,1.0
78921861,29.0,2.0
78921862,31.0,0.0
78921863,30.0,1.0
78921864,30.0,1.0
78921865,31.0,0.0
78921866,30.0,1.0
78921867,29.0,2.0
78921868,31.0,0.0
78921869,30.0,1.0
78921870,30.0,1.0
78921871,31.0,0.0
78921872,27.0,4.0
78921873,26.0,1.0
78921874,4.0,28.0
78921875,30.0,1.0
78921876,12.0,19.0
78921877,22.0,1.0
78921878,30.0,1.0
78921879,31.0,0.0
78921880,28.0,0.0
78921881,31.0,0.0
78921882,31.0,0.0
78921883,21.0,0.0
78921884,30.0,1.0
78921885,31.0,0.0
78921886,30.0,1.0
78921887,5.0,17.0
78921888,29.0,2.0
78921889,30.0,1.0
78921890,10.0,14.0
78921891,24.0,7.0
78921892,24.0,7.0
78921893,31.0,0.0
78921894,23.0,1.0
78921895,31.0,0.0
78921896,30.0,1.0
78921897,27.0,4.0
78921898,31.0,0.0
78921899,30.0,1.0
78921900,31.0,0.0
78921901,30.0,1.0
78921902,31.0,0.0
78921903,23.0,8.0
78921904,12.0,19.0
78921905,12.0,7.0
78921906,29.0,2.0
78921907,5.0,26.0
78921908,30.0,1.0
78921909,31.0,0.0
78921910,30.0,1.0
78921911,31.0,0.0
78921912,31.0,0.0
78921913,23.0,0.0
78921914,21.0,0.0
78921915,27.0,0.0
78921916,22.0,1.0
78921917,30.0,1.0
78921918,30.0,1.0
78921919,31.0,0.0
78921920,30.0,1.0
78921921,25.0,0.0
78921922,31.0,0.0
78921923,29.0,2.0
78921924,31.0,0.0
78921925,31.0,0.0
78921926,30.0,1.0
78921927,24.0,0.0
78921928,31.0,0.0
78921929,30.0,1.0
78921930,31.0,0.0
78921931,31.0,0.0
78921932,31.0,0.0
78921933,32.0,0.0
78921934,23.0,0.0
78921935,29.0,2.0
78921936,30.0,1.0
78921937,31.0,0.0
78921938,31.0,0.0
78921939,29.0,2.0
78921940,29.0,2.0
78921941,31.0,0.0
78921942,29.0,2.0
78921943,23.0,1.0
78921944,31.0,0.0
78921945,31.0,0.0
78921946,30.0,1.0
78921947,31.0,0.0
78921948,23.0,0.0
78921949,30.0,1.0
78921950,30.0,1.0
78921951,31.0,0.0
78921952,30.0,1.0
78921953,31.0,0.0
78921954,31.0,0.0
78921955,22.0,2.0
78921956,30.0,1.0
78921957,22.0,0.0
78921958,31.0,1.0
78921959,29.0,2.0
78921960,31.0,0.0
78921961,31.0,0.0
78921962,31.0,0.0
78921963,29.0,2.0
78921964,29.0,2.0
78921965,31.0,0.0
78921966,30.0,1.0
78921967,29.0,2.0
78921968,28.0,3.0
78921969,31.0,0.0
78921970,30.0,1.0
78921971,30.0,1.0
78921972,28.0,3.0
78921973,29.0,2.0
78921974,31.0,0.0
78921975,31.0,0.0
78921976,30.0,1.0
78921977,30.0,1.0
78921978,22.0,2.0
78921979,30.0,1.0
78921980,22.0,0.0
78921981,31.0,0.0
78921982,31.0,0.0
78921983,22.0,1.0
78921984,31.0,0.0
78921985,20.0,1.0
78921986,27.0,0.0
78921987,20.0,2.0
78921988,31.0,0.0
78921989,31.0,0.0
78921990,31.0,0.0
78921991,29.0,2.0
78921992,29.0,2.0
78921993,31.0,0.0
78921994,31.0,0.0
78921995,30.0,1.0
78921996,24.0,7.0
78921997,30.0,1.0
78921998,22.0,0.0
78921999,31.0,0.0
78922000,31.0,0.0
78922001,18.0,2.0
78922002,30.0,1.0
78922003,31.0,0.0
78922004,30.0,1.0
78922005,30.0,1.0
78922006,31.0,0.0
78922007,29.0,2.0
78922008,30.0,1.0
78922009,23.0,0.0
78922010,21.0,6.0
78922011,29.0,2.0
78922012,29.0,2.0
78922013,30.0,1.0
78922014,30.0,1.0
78922015,31.0,0.0
78922016,29.0,2.0
78922017,31.0,0.0
78922018,29.0,2.0
78922019,30.0,1.0
78922020,31.0,0.0
78922021,29.0,2.0
78922022,30.0,1.0
78922023,30.0,1.0
78922024,30.0,1.0
78922025,19.0,12.0
78922026,31.0,0.0
78922027,31.0,0.0
78922028,30.0,1.0
78922029,17.0,14.0
78922030,23.0,1.0
78922031,31.0,0.0
78922032,32.0,0.0
78922033,28.0,0.0
78922034,22.0,0.0
78922035,30.0,1.0
78922036,30.0,1.0
78922037,31.0,0.0
78922038,24.0,0.0
78922039,11.0,20.0
78922040,31.0,0.0
78922041,30.0,1.0
78922042,17.0,0.0
78922043,31.0,0.0
78922044,30.0,1.0
78922045,29.0,2.0
78922046,30.0,1.0
