subject_id,data.no,data.yes
92458387,0.0,22.0
92458388,4.0,16.0
92458389,3.0,17.0
92458390,1.0,19.0
92458391,21.0,0.0
92458392,20.0,0.0
92458393,20.0,0.0
92458394,10.0,11.0
92458395,21.0,0.0
92458396,19.0,2.0
92458397,16.0,5.0
92458398,1.0,19.0
92458399,0.0,20.0
92458400,20.0,0.0
92458401,4.0,16.0
92458402,7.0,13.0
92458403,20.0,0.0
92458404,20.0,0.0
92458405,20.0,0.0
92458406,20.0,0.0
92458407,1.0,19.0
92458408,1.0,20.0
92458409,6.0,15.0
92458410,0.0,21.0
92458411,1.0,19.0
92458412,18.0,2.0
92458413,20.0,0.0
92458414,20.0,0.0
92458415,20.0,1.0
92458416,8.0,12.0
92458417,20.0,0.0
92458418,11.0,9.0
92458419,2.0,18.0
92458420,20.0,0.0
92458421,20.0,0.0
92458422,3.0,17.0
92458423,21.0,0.0
92458424,18.0,2.0
92458425,20.0,0.0
92458426,12.0,8.0
92458427,17.0,3.0
92458428,18.0,2.0
92458429,18.0,2.0
92458430,2.0,18.0
92458431,18.0,2.0
92458432,20.0,0.0
92458433,21.0,0.0
92458434,0.0,20.0
92458435,19.0,2.0
92458436,4.0,17.0
92458437,19.0,1.0
92458438,20.0,0.0
92458439,4.0,16.0
92458440,16.0,4.0
92458441,0.0,20.0
92458442,19.0,1.0
92458443,21.0,0.0
92458444,4.0,17.0
92458445,22.0,0.0
92458446,20.0,0.0
92458447,19.0,1.0
92458448,3.0,17.0
92458449,21.0,0.0
92458450,21.0,0.0
92458452,5.0,15.0
92458453,20.0,0.0
92458454,0.0,20.0
92458455,20.0,0.0
92458456,21.0,0.0
92458457,19.0,2.0
92458458,20.0,0.0
92458459,19.0,1.0
92458460,20.0,0.0
92458461,20.0,0.0
92458462,1.0,20.0
92458463,20.0,0.0
92458464,20.0,0.0
92458465,0.0,20.0
92458466,20.0,0.0
92458467,8.0,12.0
92458468,4.0,16.0
92458469,21.0,0.0
92458470,1.0,20.0
92458471,19.0,1.0
92458472,19.0,1.0
92458473,8.0,12.0
92458474,21.0,0.0
92458475,2.0,18.0
92458476,18.0,2.0
92458477,1.0,19.0
92458478,3.0,19.0
92458479,21.0,0.0
92458480,20.0,1.0
92458481,5.0,16.0
92458482,14.0,8.0
92458483,14.0,6.0
92458484,18.0,2.0
92458486,20.0,0.0
92458487,19.0,1.0
92458488,20.0,0.0
92458489,20.0,0.0
92458490,20.0,0.0
92458491,20.0,0.0
92458492,20.0,0.0
92458493,20.0,0.0
92458494,18.0,2.0
92458495,20.0,0.0
92458496,20.0,0.0
92458497,20.0,0.0
92458498,3.0,17.0
92458499,14.0,6.0
92458500,12.0,8.0
92458501,16.0,4.0
92458502,21.0,0.0
92458503,0.0,21.0
92458505,18.0,2.0
92458506,0.0,21.0
92458507,20.0,0.0
92458508,20.0,1.0
92458509,2.0,18.0
92458510,20.0,0.0
92458511,3.0,18.0
92458512,18.0,2.0
92458513,13.0,7.0
92458514,19.0,1.0
92458515,20.0,0.0
92458516,21.0,0.0
92458517,21.0,0.0
92458518,20.0,1.0
92458519,18.0,2.0
92458520,20.0,0.0
92458521,20.0,0.0
92458522,2.0,18.0
92458523,21.0,0.0
92458524,20.0,0.0
92458525,20.0,0.0
92458526,0.0,20.0
92458527,19.0,1.0
92458528,20.0,0.0
92458529,0.0,20.0
92458530,20.0,0.0
92458531,1.0,19.0
92458532,20.0,0.0
92458533,20.0,0.0
92458534,3.0,17.0
92458535,19.0,1.0
92458536,4.0,16.0
92458537,2.0,18.0
92458538,19.0,1.0
92458539,20.0,0.0
92458540,19.0,1.0
92458541,20.0,0.0
92458543,3.0,18.0
92458544,20.0,0.0
92458545,17.0,3.0
92458546,20.0,0.0
92458547,11.0,9.0
92458548,19.0,1.0
92458549,20.0,0.0
92458550,5.0,15.0
92458552,21.0,0.0
92458553,20.0,0.0
92458554,13.0,8.0
92458555,6.0,14.0
92458556,20.0,0.0
92458557,4.0,16.0
92458558,7.0,13.0
92458559,0.0,20.0
92458560,5.0,15.0
92458561,21.0,0.0
92458562,14.0,10.0
92458563,20.0,1.0
92458564,13.0,7.0
92458565,2.0,18.0
92458566,20.0,1.0
92458567,14.0,6.0
92458568,19.0,1.0
92458569,20.0,1.0
92458570,0.0,20.0
92458571,0.0,20.0
92458572,19.0,1.0
92458573,21.0,0.0
92458574,2.0,18.0
92458575,19.0,1.0
92458576,19.0,1.0
92458577,11.0,10.0
92458578,20.0,1.0
92458579,20.0,0.0
92458580,16.0,4.0
92458581,18.0,2.0
92458582,0.0,20.0
92458583,16.0,4.0
92458584,1.0,19.0
92458585,1.0,19.0
92458586,8.0,12.0
92458587,21.0,0.0
92458588,20.0,1.0
92458589,19.0,2.0
92458590,19.0,1.0
92458591,8.0,12.0
92458592,17.0,3.0
92458593,6.0,14.0
92458594,20.0,0.0
92458595,21.0,0.0
92458596,20.0,0.0
92458597,21.0,0.0
92458598,19.0,1.0
92458599,20.0,0.0
92458600,18.0,6.0
92458601,5.0,24.0
92458602,7.0,13.0
92458603,20.0,0.0
92458604,20.0,0.0
92458605,19.0,1.0
92458606,2.0,18.0
92458607,10.0,10.0
92458608,20.0,0.0
92458609,20.0,0.0
92458610,18.0,3.0
92458611,7.0,13.0
92458612,17.0,3.0
92458613,19.0,1.0
92458614,20.0,0.0
92458615,15.0,5.0
92458616,21.0,0.0
92458617,21.0,0.0
92458618,20.0,0.0
92458619,20.0,0.0
92458620,19.0,1.0
92458621,20.0,0.0
92458622,2.0,18.0
92458623,20.0,0.0
92458624,19.0,2.0
92458625,18.0,2.0
92458626,13.0,7.0
92458627,2.0,18.0
92458628,4.0,16.0
92458629,14.0,6.0
92458630,21.0,0.0
92458631,21.0,0.0
92458632,15.0,5.0
92458633,19.0,1.0
92458634,21.0,0.0
92458635,1.0,20.0
92458636,1.0,19.0
92458637,19.0,1.0
92458638,16.0,4.0
92458639,11.0,9.0
92458640,20.0,0.0
92458641,18.0,2.0
92458642,19.0,1.0
92458643,20.0,0.0
92458644,1.0,19.0
92458645,20.0,0.0
92458646,19.0,1.0
92458647,19.0,1.0
92458648,20.0,0.0
92458649,19.0,1.0
92458650,19.0,1.0
92458651,19.0,1.0
92458652,4.0,16.0
92458653,4.0,16.0
92458654,20.0,1.0
92458655,2.0,19.0
92458656,18.0,2.0
92458657,3.0,17.0
92458658,18.0,2.0
92458659,20.0,0.0
92458660,22.0,0.0
92458661,20.0,1.0
92458662,19.0,1.0
92458663,4.0,16.0
92458664,19.0,1.0
92458665,5.0,15.0
92458666,20.0,0.0
92458667,17.0,4.0
92458668,2.0,18.0
92458669,20.0,0.0
92458670,3.0,18.0
92458671,11.0,9.0
92458672,17.0,3.0
92458673,5.0,15.0
92458674,10.0,10.0
92458675,3.0,17.0
92458676,9.0,11.0
92458677,19.0,1.0
92458678,18.0,2.0
92458679,20.0,0.0
92458680,0.0,20.0
92458681,4.0,17.0
92458682,2.0,18.0
92458683,1.0,19.0
92458684,2.0,19.0
92458685,21.0,2.0
92458686,3.0,17.0
92458687,19.0,1.0
92458688,20.0,0.0
92458689,21.0,0.0
92458690,19.0,1.0
92458691,19.0,1.0
92458692,19.0,1.0
92458693,19.0,1.0
92458694,20.0,0.0
92458695,2.0,18.0
92458696,0.0,20.0
92458697,19.0,2.0
92458698,21.0,0.0
92458699,2.0,18.0
92458700,0.0,20.0
92458701,8.0,12.0
92458702,2.0,18.0
92458703,19.0,1.0
92458704,18.0,2.0
92458705,20.0,0.0
92458706,2.0,18.0
92458707,18.0,2.0
92458709,20.0,0.0
92458710,20.0,0.0
92458711,20.0,0.0
92458712,1.0,19.0
92458713,1.0,19.0
92458714,17.0,3.0
92458715,9.0,11.0
92458716,20.0,0.0
92458717,19.0,1.0
92458718,3.0,17.0
92458719,16.0,4.0
92458720,20.0,0.0
92458721,12.0,8.0
92458722,20.0,0.0
92458723,20.0,1.0
92458724,20.0,0.0
92458725,8.0,13.0
92458726,20.0,0.0
92458727,20.0,0.0
92458728,21.0,0.0
92458729,10.0,11.0
92458730,9.0,12.0
92458731,20.0,0.0
92458732,10.0,10.0
92458733,0.0,21.0
92458734,19.0,1.0
92458735,20.0,0.0
92458736,13.0,7.0
92458737,4.0,16.0
92458738,1.0,19.0
92458739,20.0,0.0
92458740,13.0,7.0
92458741,11.0,9.0
92458742,19.0,1.0
92458743,19.0,1.0
92458744,20.0,0.0
92458745,10.0,10.0
92458746,19.0,1.0
92458747,20.0,0.0
92458748,5.0,15.0
92458749,2.0,18.0
92458750,18.0,3.0
92458751,20.0,0.0
92458752,13.0,7.0
92458753,20.0,1.0
92458754,20.0,0.0
92458755,20.0,0.0
92458756,21.0,0.0
92458757,20.0,0.0
92458758,19.0,1.0
92458759,4.0,16.0
92458760,1.0,21.0
92458761,17.0,3.0
92458762,13.0,7.0
92458763,3.0,17.0
92458764,21.0,0.0
92458765,2.0,18.0
92458766,20.0,0.0
92458768,20.0,0.0
92458769,21.0,0.0
92458770,20.0,0.0
92458771,1.0,19.0
92458772,14.0,6.0
92458773,1.0,19.0
92458774,20.0,0.0
92458775,19.0,1.0
92458776,20.0,0.0
92458777,21.0,0.0
92458778,4.0,16.0
92458779,20.0,1.0
92458780,2.0,18.0
92458781,16.0,4.0
92458782,20.0,0.0
92458783,19.0,1.0
92458784,0.0,20.0
92458785,20.0,0.0
92458786,18.0,2.0
92458787,20.0,0.0
92458788,16.0,4.0
92458789,3.0,17.0
92458790,13.0,7.0
92458791,9.0,11.0
92458792,20.0,0.0
92458793,6.0,15.0
92458794,10.0,11.0
92458795,18.0,4.0
92458796,21.0,0.0
92458797,20.0,0.0
92458798,19.0,1.0
92458799,20.0,0.0
92458800,6.0,14.0
92458801,18.0,2.0
92458802,20.0,0.0
92458803,20.0,0.0
92458804,20.0,0.0
92458805,20.0,0.0
92458806,21.0,0.0
92458807,17.0,3.0
92458808,5.0,15.0
92458809,20.0,0.0
92458810,3.0,18.0
92458812,1.0,20.0
92458813,5.0,16.0
92458815,0.0,20.0
92458816,4.0,16.0
92458817,18.0,2.0
92458818,3.0,17.0
92458819,13.0,7.0
92458820,3.0,17.0
92458821,19.0,1.0
92458823,19.0,1.0
92458824,21.0,0.0
92458825,18.0,2.0
92458826,21.0,1.0
92458827,20.0,0.0
92458828,19.0,2.0
92458829,19.0,1.0
92458830,7.0,13.0
92458831,20.0,1.0
92458832,20.0,1.0
92458833,20.0,0.0
92458834,19.0,1.0
92458835,20.0,0.0
92458836,22.0,3.0
92458837,20.0,0.0
92458838,19.0,1.0
92458839,17.0,3.0
92458840,20.0,1.0
92458841,0.0,20.0
92458842,21.0,0.0
92458843,1.0,19.0
92458844,21.0,0.0
92458845,8.0,12.0
92458846,20.0,0.0
92458847,20.0,1.0
92458848,21.0,0.0
92458849,7.0,14.0
92458850,10.0,10.0
92458851,21.0,0.0
92458852,20.0,1.0
92458853,12.0,10.0
92458854,0.0,20.0
92458855,3.0,17.0
92458856,20.0,0.0
92458857,7.0,13.0
92458858,5.0,15.0
92458859,20.0,0.0
92458860,19.0,1.0
92458861,18.0,3.0
92458862,7.0,13.0
92458863,20.0,0.0
92458864,20.0,0.0
92458865,21.0,0.0
92458866,18.0,2.0
92458867,20.0,0.0
92458868,19.0,1.0
92458869,18.0,2.0
92458870,12.0,8.0
92458871,0.0,20.0
92458872,11.0,9.0
92458873,20.0,0.0
92458874,0.0,20.0
92458875,0.0,20.0
92458876,20.0,1.0
92458877,1.0,19.0
92458878,20.0,0.0
92458879,21.0,0.0
92458880,4.0,16.0
92458881,3.0,17.0
92458882,20.0,0.0
92458883,1.0,19.0
92458884,19.0,1.0
92458885,20.0,0.0
92458886,21.0,0.0
92458887,18.0,2.0
92458888,21.0,0.0
92458889,20.0,0.0
92458890,19.0,1.0
92458891,0.0,20.0
92458892,20.0,0.0
