,subspecies,island,site_name,subject_group,image_name,subject_id,presence_absence,count_male-lek,count_male-no-lek,count_others,count_partial,count_total,quality,condition,comment
0,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_282.jpg,47969795,Y,0,2,0,2,2,Good,Hard,
1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_344.jpg,47969531,Y,0,2,2,1,4,Good,Hard,not consider number 4 marked in the image
5,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_293.jpg,47969828,Y,1,0,6,1,7,Good,Hard,
22,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_114.jpg,47967876,Y,0,1,0,0,1,Bad,Visible,
60,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_154.jpg,47967959,Y,0,1,0,0,1,Good,Visible,
61,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_155.jpg,47967961,Y,1,0,3,0,4,Bad,Hard,
68,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_163.jpg,47967975,Y,0,0,1,0,1,Good,Visible,
86,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_184.jpg,47968013,Y,0,1,0,0,1,Bad,Hard,
108,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_210.jpg,47968058,Y,0,1,0,0,1,Good,Visible,
133,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_258.jpg,47968109,Y,0,1,1,0,2,Bad,Hard,
138,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_299.jpg,47968122,Y,0,1,0,0,1,Good,Visible,
160,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-2_100.jpg,47968164,Y,0,1,0,0,1,Bad,Visible,
169,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-2_109.jpg,47968181,N,0,0,0,0,0,,,
188,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-2_139.jpg,47968218,Y,1,1,9,0,11,Good,Visible,
235,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-2_209.jpg,47968356,Y,0,1,0,0,1,Good,Visible,
236,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-2_210.jpg,47968359,Y,0,0,1,0,1,Good,Visible,
247,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-2_245.jpg,47968393,Y,0,0,1,0,1,Good,Visible,
251,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-2_264.jpg,47968406,Y,1,0,10,0,11,Good,Visible,
252,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-2_265.jpg,47968410,Y,0,1,0,0,1,Bad,Visible,
256,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-2_284.jpg,47968423,Y,1,0,15,0,16,Good,Visible,not consider number 17 marked in the image
280,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-2_57.jpg,47968499,Y,0,1,0,0,1,Good,Visible,
282,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-2_59.jpg,47968506,Y,0,1,0,0,1,Good,Visible,
448,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-1_305.jpg,47969049,Y,0,1,1,0,2,Bad,Hard,
501,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_120.jpg,47969236,Y,0,1,0,0,1,Good,Visible,
530,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_195.jpg,47969327,Y,0,1,0,0,1,Good,Visible,
531,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_196.jpg,47969331,Y,0,1,1,0,2,Good,Hard,
540,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_217.jpg,47969359,Y,0,1,0,0,1,Good,Visible,
554,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_244.jpg,47969405,Y,0,1,1,0,2,Good,Visible,not considered number 3 marked in the image
569,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_272.jpg,47969452,Y,0,1,0,0,1,Good,Visible,
577,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_293.jpg,47969478,N,0,0,9,0,9,Good,Hard,
589,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_320.jpg,47969515,Y,0,1,0,0,1,Good,Visible,
590,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_321.jpg,47969518,Y,0,1,0,0,1,Good,Visible,
612,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_96.jpg,47969597,Y,0,1,0,0,1,Good,Visible,
660,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_271.jpg,47969763,N,0,0,0,0,0,,,
666,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_278.jpg,47969782,Y,0,0,1,0,1,Good,Visible,
668,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_280.jpg,47969789,Y,0,1,0,0,1,Good,Visible,
677,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_292.jpg,47969825,Y,0,4,7,0,11,Good,Visible,
684,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_302.jpg,47969853,Y,0,1,1,0,2,Good,Visible,
687,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_305.jpg,47969862,Y,0,0,1,0,1,Good,Visible,
690,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_308.jpg,47969871,Y,0,1,0,0,1,Good,Visible,
698,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_320.jpg,47969901,Y,0,2,1,0,3,Good,Hard,
699,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_321.jpg,47969904,Y,0,1,3,0,4,Good,Visible,
701,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_323.jpg,47969912,Y,1,1,4,0,6,Good,Visible,
703,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_325.jpg,47969918,Y,0,3,5,0,8,Good,Visible,
705,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_328.jpg,47969928,Y,0,1,0,0,1,Good,Visible,
706,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_329.jpg,47969930,Y,0,1,0,0,1,Good,Visible,
708,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_331.jpg,47969939,Y,0,1,2,0,3,Good,Visible,
710,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_333.jpg,47969945,Y,1,0,8,0,9,Good,Visible,
712,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_344.jpg,47969952,Y,1,3,8,0,12,Bad,Hard,One iguana that only Andres sees; consensus: 12 iguanas seen by Andrea and Andres
716,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_348.jpg,47969969,Y,1,1,12,0,14,Good,Hard,Three iguanas only Andres sees; consensus: 14 iguanas seen by Andrea and Andres
717,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_349.jpg,47969972,Y,0,1,0,0,1,Good,Visible,
