,image_name,dbscan_count,dbscan_noise,dbscan_silouette_score,dbscan_BIC_score,eps,min_samples
0,SFM01-1-1_114.jpg,0,13,,,0.01,3
1,SFM01-1-1_114.jpg,0,13,,,0.01,5
2,SFM01-1-1_114.jpg,0,13,,,0.01,8
3,SFM01-1-1_114.jpg,0,13,,,0.01,10
4,SFM01-1-1_114.jpg,0,13,,,0.05,3
5,SFM01-1-1_114.jpg,0,13,,,0.05,5
6,SFM01-1-1_114.jpg,0,13,,,0.05,8
7,SFM01-1-1_114.jpg,0,13,,,0.05,10
8,SFM01-1-1_114.jpg,1,6,,,0.1,3
9,SFM01-1-1_114.jpg,1,8,,,0.1,5
10,SFM01-1-1_114.jpg,0,13,,,0.1,8
11,SFM01-1-1_114.jpg,0,13,,,0.1,10
12,SFM01-1-1_114.jpg,1,4,,,0.2,3
13,SFM01-1-1_114.jpg,1,4,,,0.2,5
14,SFM01-1-1_114.jpg,1,4,,,0.2,8
15,SFM01-1-1_114.jpg,0,13,,,0.2,10
16,SFM01-1-1_114.jpg,1,4,,,0.3,3
17,SFM01-1-1_114.jpg,1,4,,,0.3,5
18,SFM01-1-1_114.jpg,1,4,,,0.3,8
19,SFM01-1-1_114.jpg,0,13,,,0.3,10
20,SFM01-1-1_114.jpg,1,4,,,0.4,3
21,SFM01-1-1_114.jpg,1,4,,,0.4,5
22,SFM01-1-1_114.jpg,1,4,,,0.4,8
23,SFM01-1-1_114.jpg,0,13,,,0.4,10
24,SFM01-1-1_114.jpg,1,4,,,0.5,3
25,SFM01-1-1_114.jpg,1,4,,,0.5,5
26,SFM01-1-1_114.jpg,1,4,,,0.5,8
27,SFM01-1-1_114.jpg,0,13,,,0.5,10
0,SFM01-1-1_154.jpg,0,11,,,0.01,3
1,SFM01-1-1_154.jpg,0,11,,,0.01,5
2,SFM01-1-1_154.jpg,0,11,,,0.01,8
3,SFM01-1-1_154.jpg,0,11,,,0.01,10
4,SFM01-1-1_154.jpg,0,11,,,0.05,3
5,SFM01-1-1_154.jpg,0,11,,,0.05,5
6,SFM01-1-1_154.jpg,0,11,,,0.05,8
7,SFM01-1-1_154.jpg,0,11,,,0.05,10
8,SFM01-1-1_154.jpg,0,11,,,0.1,3
9,SFM01-1-1_154.jpg,0,11,,,0.1,5
10,SFM01-1-1_154.jpg,0,11,,,0.1,8
11,SFM01-1-1_154.jpg,0,11,,,0.1,10
12,SFM01-1-1_154.jpg,0,11,,,0.2,3
13,SFM01-1-1_154.jpg,0,11,,,0.2,5
14,SFM01-1-1_154.jpg,0,11,,,0.2,8
15,SFM01-1-1_154.jpg,0,11,,,0.2,10
16,SFM01-1-1_154.jpg,1,8,,,0.3,3
17,SFM01-1-1_154.jpg,0,11,,,0.3,5
18,SFM01-1-1_154.jpg,0,11,,,0.3,8
19,SFM01-1-1_154.jpg,0,11,,,0.3,10
20,SFM01-1-1_154.jpg,1,8,,,0.4,3
21,SFM01-1-1_154.jpg,0,11,,,0.4,5
22,SFM01-1-1_154.jpg,0,11,,,0.4,8
23,SFM01-1-1_154.jpg,0,11,,,0.4,10
24,SFM01-1-1_154.jpg,1,8,,,0.5,3
25,SFM01-1-1_154.jpg,0,11,,,0.5,5
26,SFM01-1-1_154.jpg,0,11,,,0.5,8
27,SFM01-1-1_154.jpg,0,11,,,0.5,10
0,SFM01-1-1_155.jpg,0,27,,,0.01,3
1,SFM01-1-1_155.jpg,0,27,,,0.01,5
2,SFM01-1-1_155.jpg,0,27,,,0.01,8
3,SFM01-1-1_155.jpg,0,27,,,0.01,10
4,SFM01-1-1_155.jpg,1,23,,,0.05,3
5,SFM01-1-1_155.jpg,0,27,,,0.05,5
6,SFM01-1-1_155.jpg,0,27,,,0.05,8
7,SFM01-1-1_155.jpg,0,27,,,0.05,10
8,SFM01-1-1_155.jpg,3,10,0.1227306507977871,,0.1,3
9,SFM01-1-1_155.jpg,1,21,,,0.1,5
10,SFM01-1-1_155.jpg,0,27,,,0.1,8
11,SFM01-1-1_155.jpg,0,27,,,0.1,10
12,SFM01-1-1_155.jpg,2,5,0.44942325342781336,,0.2,3
13,SFM01-1-1_155.jpg,1,9,,,0.2,5
14,SFM01-1-1_155.jpg,1,12,,,0.2,8
15,SFM01-1-1_155.jpg,1,17,,,0.2,10
16,SFM01-1-1_155.jpg,1,3,,,0.3,3
17,SFM01-1-1_155.jpg,1,3,,,0.3,5
18,SFM01-1-1_155.jpg,1,7,,,0.3,8
19,SFM01-1-1_155.jpg,1,7,,,0.3,10
20,SFM01-1-1_155.jpg,1,3,,,0.4,3
21,SFM01-1-1_155.jpg,1,3,,,0.4,5
22,SFM01-1-1_155.jpg,1,4,,,0.4,8
23,SFM01-1-1_155.jpg,1,5,,,0.4,10
24,SFM01-1-1_155.jpg,1,3,,,0.5,3
25,SFM01-1-1_155.jpg,1,3,,,0.5,5
26,SFM01-1-1_155.jpg,1,3,,,0.5,8
27,SFM01-1-1_155.jpg,1,3,,,0.5,10
0,SFM01-1-1_163.jpg,0,6,,,0.01,3
1,SFM01-1-1_163.jpg,0,6,,,0.01,5
2,SFM01-1-1_163.jpg,0,6,,,0.01,8
3,SFM01-1-1_163.jpg,0,6,,,0.01,10
4,SFM01-1-1_163.jpg,0,6,,,0.05,3
5,SFM01-1-1_163.jpg,0,6,,,0.05,5
6,SFM01-1-1_163.jpg,0,6,,,0.05,8
7,SFM01-1-1_163.jpg,0,6,,,0.05,10
8,SFM01-1-1_163.jpg,0,6,,,0.1,3
9,SFM01-1-1_163.jpg,0,6,,,0.1,5
10,SFM01-1-1_163.jpg,0,6,,,0.1,8
11,SFM01-1-1_163.jpg,0,6,,,0.1,10
12,SFM01-1-1_163.jpg,0,6,,,0.2,3
13,SFM01-1-1_163.jpg,0,6,,,0.2,5
14,SFM01-1-1_163.jpg,0,6,,,0.2,8
15,SFM01-1-1_163.jpg,0,6,,,0.2,10
16,SFM01-1-1_163.jpg,0,6,,,0.3,3
17,SFM01-1-1_163.jpg,0,6,,,0.3,5
18,SFM01-1-1_163.jpg,0,6,,,0.3,8
19,SFM01-1-1_163.jpg,0,6,,,0.3,10
20,SFM01-1-1_163.jpg,0,6,,,0.4,3
21,SFM01-1-1_163.jpg,0,6,,,0.4,5
22,SFM01-1-1_163.jpg,0,6,,,0.4,8
23,SFM01-1-1_163.jpg,0,6,,,0.4,10
24,SFM01-1-1_163.jpg,1,3,,,0.5,3
25,SFM01-1-1_163.jpg,0,6,,,0.5,5
26,SFM01-1-1_163.jpg,0,6,,,0.5,8
27,SFM01-1-1_163.jpg,0,6,,,0.5,10
0,SFM01-1-1_184.jpg,0,6,,,0.01,3
1,SFM01-1-1_184.jpg,0,6,,,0.01,5
2,SFM01-1-1_184.jpg,0,6,,,0.01,8
3,SFM01-1-1_184.jpg,0,6,,,0.01,10
4,SFM01-1-1_184.jpg,1,3,,,0.05,3
5,SFM01-1-1_184.jpg,0,6,,,0.05,5
6,SFM01-1-1_184.jpg,0,6,,,0.05,8
7,SFM01-1-1_184.jpg,0,6,,,0.05,10
8,SFM01-1-1_184.jpg,1,3,,,0.1,3
9,SFM01-1-1_184.jpg,0,6,,,0.1,5
10,SFM01-1-1_184.jpg,0,6,,,0.1,8
11,SFM01-1-1_184.jpg,0,6,,,0.1,10
12,SFM01-1-1_184.jpg,1,1,,,0.2,3
13,SFM01-1-1_184.jpg,1,1,,,0.2,5
14,SFM01-1-1_184.jpg,0,6,,,0.2,8
15,SFM01-1-1_184.jpg,0,6,,,0.2,10
16,SFM01-1-1_184.jpg,1,1,,,0.3,3
17,SFM01-1-1_184.jpg,1,1,,,0.3,5
18,SFM01-1-1_184.jpg,0,6,,,0.3,8
19,SFM01-1-1_184.jpg,0,6,,,0.3,10
20,SFM01-1-1_184.jpg,1,1,,,0.4,3
21,SFM01-1-1_184.jpg,1,1,,,0.4,5
22,SFM01-1-1_184.jpg,0,6,,,0.4,8
23,SFM01-1-1_184.jpg,0,6,,,0.4,10
24,SFM01-1-1_184.jpg,1,1,,,0.5,3
25,SFM01-1-1_184.jpg,1,1,,,0.5,5
26,SFM01-1-1_184.jpg,0,6,,,0.5,8
27,SFM01-1-1_184.jpg,0,6,,,0.5,10
