,subspecies,island,site_name,subject_group,image_name,subject_id,presence_absence,count_male-lek,count_male-no-lek,count_others,count_partial,count_total,quality,condition,comment,median_count,mean_count,mode_count,users,sum_annotations_count,annotations_count,dbscan_count_sil,HDBSCAN_count,eps,min_cluster_size,max_cluster_size,noise_points
0,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_282.jpg,47969795,Y,0,2,0,2,2,Good,Hard,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-1_344.jpg,47969531,Y,0,2,2,1,4,Good,Hard,not consider number 4 marked in the image,1.0,1.7,1.0,10.0,17.0,"[1, 1, 1, 1, 1, 1, 1, 3, 3, 4]",3.0,1.0,0.0,5.0,0,12.0
2,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_270.jpg,47969760,Y,0,0,0,1,0,Good,Hard,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
3,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_289.jpg,47969815,Y,0,0,0,1,0,Good,Visible,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
4,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_291.jpg,47969821,Y,0,0,0,1,0,Good,Hard,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
5,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_293.jpg,47969828,Y,1,0,6,1,7,Good,Hard,0,2.0,2.57,1.0,14.0,36.0,"[1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 3, 4, 5, 8]",3.0,1.0,0.0,5.0,0,30.0
6,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_314.jpg,47969892,Y,0,1,0,1,1,Good,Hard,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
7,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-2_326.jpg,47969922,Y,1,1,6,1,8,Good,Visible,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
8,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-2-2-3_148.jpg,47970135,Y,0,0,0,1,0,Good,Hard,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
9,A. c. mertensi,San Cristobal,Loberia,SRL1,SRL03-3_72.jpg,48028078,Y,0,0,0,1,0,Good,Visible,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
10,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_100.jpg,47967838,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
11,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_103.jpg,47967843,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
12,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_104.jpg,47967846,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
13,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_105.jpg,47967848,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
14,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_106.jpg,47967851,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
15,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_107.jpg,47967855,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
16,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_108.jpg,47967857,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
17,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_109.jpg,47967860,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
18,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_110.jpg,47967864,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
19,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_111.jpg,47967867,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
20,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_112.jpg,47967870,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
21,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_113.jpg,47967873,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
22,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_114.jpg,47967876,Y,0,1,0,0,1,Bad,Visible,0,1.0,1.44,1.0,9.0,13.0,"[1, 1, 1, 1, 1, 1, 1, 2, 4]",0.0,1.0,0.0,5.0,0,8.0
23,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_115.jpg,47967879,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
24,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_116.jpg,47967882,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
25,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_117.jpg,47967885,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
