,image_name_x,subject_id,Median0s,Mean0s,Max0s,Std0s,Median.r,Mean.r,Mode0s,subspecies,island,site_name,subject_group,image_name_y,presence_absence,count_male-lek,count_male-no-lek,count_others,count_partial,count_total,quality,condition,comment
0,SFM01-1-1_114.jpg,47967876,1.0,1.444444444,3,0.726483157,1,1,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_114.jpg,Y,0,1,0,0,1,Bad,Visible,
1,SFM01-1-1_154.jpg,47967959,1.0,1.181818182,2,0.404519917,1,1,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_154.jpg,Y,0,1,0,0,1,Good,Visible,
2,SFM01-1-1_155.jpg,47967961,9.0,9.0,12,2.581988897,9,9,12,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_155.jpg,Y,1,0,3,0,4,Bad,Hard,
3,SFM01-1-1_163.jpg,47967975,2.0,2.0,2,0.0,2,2,2,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_163.jpg,Y,0,0,1,0,1,Good,Visible,
4,SFM01-1-1_184.jpg,47968013,1.0,1.25,2,0.5,1,1,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_184.jpg,Y,0,1,0,0,1,Bad,Hard,
5,SFM01-1-1_210.jpg,47968058,1.0,1.733333333,10,2.313521332,1,2,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_210.jpg,Y,0,1,0,0,1,Good,Visible,
6,SFM01-1-1_258.jpg,47968109,4.0,3.285714286,7,2.360387377,4,3,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_258.jpg,Y,0,1,1,0,2,Bad,Hard,
7,SFM01-1-1_299.jpg,47968122,1.0,1.125,2,0.341565026,1,1,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-1_299.jpg,Y,0,1,0,0,1,Good,Visible,
8,SFM01-1-2_100.jpg,47968164,1.0,1.083333333,2,0.288675135,1,1,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-2_100.jpg,Y,0,1,0,0,1,Bad,Visible,
9,SFM01-1-2_109.jpg,47968181,1.0,1.0,1,0.0,1,1,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-2_109.jpg,N,0,0,0,0,0,,,
10,SFM01-1-2_139.jpg,47968218,4.5,7.714285714,26,8.052028616,5,8,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-2_139.jpg,Y,1,1,9,0,11,Good,Visible,
11,SFM01-1-2_209.jpg,47968356,1.0,1.230769231,3,0.59914469,1,1,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-2_209.jpg,Y,0,1,0,0,1,Good,Visible,
12,SFM01-1-2_210.jpg,47968359,1.5,2.0,4,1.414213562,2,2,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-2_210.jpg,Y,0,0,1,0,1,Good,Visible,
13,SFM01-1-2_245.jpg,47968393,1.0,1.181818182,2,0.404519917,1,1,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-2_245.jpg,Y,0,0,1,0,1,Good,Visible,
14,SFM01-1-2_264.jpg,47968406,10.0,8.692307692,14,4.714951668,10,9,14,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-2_264.jpg,Y,1,0,10,0,11,Good,Visible,
15,SFM01-1-2_265.jpg,47968410,1.0,1.333333333,2,0.48507125,1,1,1,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-2_265.jpg,Y,0,1,0,0,1,Bad,Visible,
16,SFM01-1-2_284.jpg,47968423,20.0,19.86666667,32,7.670599405,20,20,20,A. c. trillmichi,Santa Fe,El Miedo,SFM1,SFM01-1-2_284.jpg,Y,1,0,15,0,16,Good,Visible,not consider number 17 marked in the image
