,subspecies,island,site_name,subject_group,image_name,subject_id,presence_absence,count_male-lek,count_male-no-lek,count_others,count_partial,count_total,quality,condition,comment
10,A. c. venustissimus,Española,Gardner Islet,Gardner Islet,EGI04-1_141.jpg,72333244,Y,0,1,2,0,3,Good,Visible,
14,A. c. venustissimus,Española,Gardner Islet,Gardner Islet,EGI08-2_78.jpg,72333835,Y,0,1,0,0,1,Good,Visible,
38,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS01_28.jpg,72335422,Y,0,1,0,0,1,Good,Visible,
39,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS01_41.jpg,72335435,Y,0,0,1,2,1,Good,Visible,
41,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS02_208.jpg,72335541,Y,0,1,1,3,2,Good,Visible,
45,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS03_35.jpg,72335594,Y,1,0,2,0,3,Good,Visible,
46,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS03_70.jpg,72335629,Y,1,0,13,1,14,Good,Visible,
47,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS03_75.jpg,72335634,Y,0,0,1,1,1,Good,Visible,
48,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS04-1_136.jpg,72335681,Y,0,0,3,0,3,Good,Visible,
51,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS05-2_98.jpg,72335930,Y,0,1,1,0,2,Bad,Visible,
55,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS06-2_160.jpg,72336110,Y,1,0,1,1,2,Bad,Hard,2 iguanas and 1 partial seen by all
56,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS06-2_212.jpg,72336132,Y,0,0,1,0,1,Good,Visible,
57,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS06-2_235.jpg,72336142,Y,0,0,2,1,2,Good,Visible,
58,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS07-1_238.jpg,72336297,Y,0,0,2,0,2,Good,Visible,
59,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS07-1_301.jpg,72336349,Y,1,2,3,1,6,Good,Visible,
61,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS07-1_322.jpg,72336365,Y,0,0,2,0,2,Bad,Hard,
62,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS07-1_376.jpg,72336404,Y,0,0,7,1,7,Bad,Hard,
64,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS07-2_260.jpg,72336532,Y,0,0,4,0,4,Bad,Hard,1 iguana only Andrea sees; concensus: 4 iguanas seen by all
68,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS08-1_289.jpg,72336742,Y,0,1,0,0,1,Good,Visible,
69,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS08-1_351.jpg,72336780,Y,0,0,7,1,7,Good,Visible,
71,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS08-2_311.jpg,72336927,Y,0,1,1,0,2,Good,Hard,
74,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS08-2_390.jpg,72337004,Y,0,1,1,0,2,Good,Visible,
75,A. c. venustissimus,Española,Punta Suarez,Punta Suarez,EPS08-2_469.jpg,72337084,Y,0,2,1,0,3,Good,Hard,
78,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-1_119.jpg,72337185,Y,1,1,5,1,7,Good,Visible,
79,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-1_122.jpg,72337188,Y,0,0,1,1,1,Bad,Visible,
87,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-1_72.jpg,72337234,Y,0,0,0,2,0,Good,Visible,
88,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-1_75.jpg,72337237,Y,0,1,0,0,1,Good,Visible,
89,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-1_80.jpg,72337242,Y,0,0,2,1,2,Good,Visible,
90,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-1_89.jpg,72337251,Y,0,1,0,0,1,Good,Visible,
93,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-2_111.jpg,72337273,Y,0,0,0,1,0,Good,Visible,
95,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-2_118.jpg,72337280,Y,0,1,0,1,1,Bad,Visible,
96,A. c. venustissimus,Española,South Coast B,South Coast B,ESCB-2.1-2_37.jpg,72337295,Y,0,1,1,0,2,Good,Visible,
