,subspecies,island,site_name,subject_group,image_name,subject_id,presence_absence,count_male-lek,count_male-no-lek,count_others,count_partial,count_total,quality,condition,comment,median_count,mean_count,mode_count,users,sum_annotations_count,annotations_count,dbscan_count_sil,HDBSCAN_count,eps,min_cluster_size,max_cluster_size,noise_points
0,A. c. venustissimus,Española,Gardner Islet,Gardner Islet,EGI01-1-2_120.jpg,72332801,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
1,A. c. venustissimus,Española,Gardner Islet,Gardner Islet,EGI01-1-2_121.jpg,72332802,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
2,A. c. venustissimus,Española,Gardner Islet,Gardner Islet,EGI01-2-2_116.jpg,72332876,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
3,A. c. venustissimus,Española,Gardner Islet,Gardner Islet,EGI02-2_114.jpg,72332972,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
4,A. c. venustissimus,Española,Gardner Islet,Gardner Islet,EGI02-2_36.jpg,72332999,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
5,A. c. venustissimus,Española,Gardner Islet,Gardner Islet,EGI02-2_55.jpg,72333006,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
6,A. c. venustissimus,Española,Gardner Islet,Gardner Islet,EGI02-2_87.jpg,72333021,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
7,A. c. venustissimus,Española,Gardner Islet,Gardner Islet,EGI03_48.jpg,72333060,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
8,A. c. venustissimus,Española,Gardner Islet,Gardner Islet,EGI03-2-1_35.jpg,72333108,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
9,A. c. venustissimus,Española,Gardner Islet,Gardner Islet,EGI03-2-2_29.jpg,72333161,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
10,A. c. venustissimus,Española,Gardner Islet,Gardner Islet,EGI04-1_141.jpg,72333244,Y,0,1,2,0,3,Good,Visible,0,1.0,1.64,1.0,22.0,36.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 4]",2.0,3.0,0.0,5.0,0,0.0
11,A. c. venustissimus,Española,Gardner Islet,Gardner Islet,EGI04-2_106.jpg,72333316,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
12,A. c. venustissimus,Española,Gardner Islet,Gardner Islet,EGI06-2_61.jpg,72333547,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
13,A. c. venustissimus,Española,Gardner Islet,Gardner Islet,EGI08-1_83.jpg,72333734,N,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
