,subspecies,island,site_name,subject_group,image_name,subject_id,presence_absence,count_male-lek,count_male-no-lek,count_others,count_partial,count_total,quality,condition,comment
22,A. c. hayampi,Marchena,BahiaNegra,MBN1,MBN04-2_182.jpg,78926344,N,0,0,0,0,0,,,
100,A. c. hayampi,Marchena,BahiaNegraD,MBBD1,MBBD02-2_248.jpg,78928708,Y,0,1,1,0,2,Good,,
208,A. c. sielmanni,Pinta,CaboIbebetson,PCI,PCI01-2_111.jpg,78938221,Y,1,0,3,0,4,Good,Visible,
238,A. c. sielmanni,Pinta,CaboIbebetson,PCI,PCI02-1_92.jpg,78938603,Y,0,1,0,0,1,Good,Visible,
274,A. c. sielmanni,Pinta,CaboIbebetsonC,PCIC,PCIC01-1_113.jpg,78938992,Y,0,0,2,0,2,Good,Hard,
278,A. c. sielmanni,Pinta,CaboIbebetsonC,PCIC,PCIC01-1_131.jpg,78939007,Y,1,0,2,0,3,Good,Visible,
408,A. c. sielmanni,Pinta,CaboIbebetsonE,PCIE1,PCIE02-1_72.jpg,78957268,N,0,0,0,0,0,,,
469,A. c. sielmanni,Pinta,CaboIbebetsonE,PCIE5,PCIE13-1-3_142.jpg,78961354,Y,0,0,1,0,1,Bad,Visible,
472,A. c. sielmanni,Pinta,CaboIbebetsonE,PCIE5,PCIE13-2-2_07.jpg,78961512,Y,0,0,1,0,1,Good,Visible,
493,A. c. sielmanni,Pinta,CaboIbebetsonS,PCIS,PCIS01-5_67.jpg,78961972,N,0,0,0,0,0,,,
559,A. c. nanus,Genovesa,EastB,EGB,GEB01-2_152.jpg,78922029,Y,0,0,2,0,2,Good,Visible,
564,A. c. nanus,Genovesa,EastB,EGB,GEB01-2_228.jpg,78922093,Y,0,0,9,0,9,Good,Hard,
593,A. c. nanus,Genovesa,EastB,EGB,GEB02-1_382.jpg,78922433,Y,0,0,1,0,1,Bad,Visible,
609,A. c. nanus,Genovesa,EastB,EGB,GEB02-3_197.jpg,78922625,Y,0,0,1,0,1,Good,Visible,
662,A. c. hayampi,Marchena,EastBahiaNegra,MEBBA2,MEBBA03-4_04.jpg,78932361,Y,0,1,2,0,3,Bad,Visible,
681,A. c. venustissimus,Floreana,Montura,Montura,FMO01_123.jpg,78963984,Y,0,0,3,0,3,Good,Visible,
684,A. c. venustissimus,Floreana,Montura,Montura,FMO01_34.jpg,78964000,Y,0,1,0,0,1,Good,Visible,
685,A. c. venustissimus,Floreana,Montura,Montura,FMO01_69.jpg,78964022,Y,0,3,1,2,4,Good,Visible,
686,A. c. venustissimus,Floreana,Montura,Montura,FMO01_70.jpg,78964023,Y,0,3,2,0,5,Good,Visible,
687,A. c. venustissimus,Floreana,Montura,Montura,FMO01_89.jpg,78964039,Y,0,4,1,2,5,Good,Visible,
688,A. c. venustissimus,Floreana,Montura,Montura,FMO02-1_108.jpg,78964056,Y,0,1,1,0,2,Good,Visible,
