,image_name_x,subject_id,Median0s,Mean0s,Max0s,Std0s,Median0s.r,Mean0s.r,Mode0s,subspecies,island,site_name,subject_group,image_name_y,presence_absence,count_male-lek,count_male-no-lek,count_others,count_partial,count_total,quality,condition,comment
0,ESCH01-1_13.jpg,78964714,18.0,16.45833333,21,4.053760108,18,16,19,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH01-1_13.jpg,Y,1,3,15,0,19,Good,Visible,
1,ESCH01-1_19.jpg,78964720,6.5,6.388888889,15,2.973191767,7,6,7,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH01-1_19.jpg,Y,1,0,8,1,9,Good,Visible,
2,ESCH01-1_21.jpg,78964722,6.5,5.964285714,11,2.781980947,7,6,2,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH01-1_21.jpg,Y,0,2,5,1,7,Good,Visible,
3,ESCH01-1_22.jpg,78964723,4.0,3.888888889,6,1.476308633,4,4,5,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH01-1_22.jpg,Y,0,1,4,1,5,Good,Visible,
4,ESCH01-1_23.jpg,78964724,2.0,2.111111111,4,0.423659273,2,2,2,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH01-1_23.jpg,Y,0,2,0,0,2,Good,Visible,
5,ESCH01-2_118.jpg,78964735,2.0,2.04,5,1.337908816,2,2,1,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH01-2_118.jpg,Y,0,1,3,0,4,Bad,Hard,
6,ESCH01-2_123.jpg,78964739,3.0,3.304347826,6,0.702901946,3,3,3,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH01-2_123.jpg,Y,0,1,2,0,3,Bad,Hard,
7,ESCH01-2_244.jpg,78964769,14.0,12.66666667,29,7.888934917,14,13,18,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH01-2_244.jpg,Y,0,1,17,1,18,Bad,Hard,concensus: 18 iguanas and 1 partial seen by Andrea and Andres
8,ESCH01-2_308.jpg,78964779,5.0,5.333333333,17,4.478906793,5,5,1,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH01-2_308.jpg,Y,0,2,5,2,7,Bad,Hard,
9,ESCH01-2_340.jpg,78964785,6.0,8.230769231,24,5.630685161,6,8,4,A. c. venustissimus,Española,SouthCoastH,SouthCoastH,ESCH01-2_340.jpg,Y,1,1,13,0,15,Bad,Hard,1 partial only Andres sees; concensus 15 iguanas seen by Andres and Andrea
